-NqUWliDsTgSd_QNEFWNyA,wpQsmMvdhefqIlxvRt_Jbg,DonDon Izakaya,3.0,314,1,2018-11-15 03:21:35,HbWwwpGfdrKzwJBFe59dSw,1.0,1.0,"",Andy,1
0TXfjVbJWyll-83JEGQbFg,GPK5oG-H6JUPo2a5hBxRBQ,Bodega Henriette,4.5,47,1,2018-11-27 15:33:39,Fg9QK4CTQfY1vbB02pRFhQ,5.0,3.92,"",Sunday,13
0TXfjVbJWyll-83JEGQbFg,pwtTn72x7Nqp1imaXw9LvQ,Mercatto,3.5,83,1,2019-06-25 20:28:16,3Q5_-E9TgfryRwjBGn7yDQ,3.0,3.92,"",Sunday,13
0TXfjVbJWyll-83JEGQbFg,7oEKIG7d1ttPRejppZ3WIA,Lady Marmalade,4.0,527,1,2019-09-21 14:02:39,7tIYXZeOwv0OiECAOGdQ2w,5.0,3.92,"",Sunday,13
0TXfjVbJWyll-83JEGQbFg,h8vVxwP6FnlkRDONKBHT-w,Chubby's Jamaican Kitchen,4.0,223,1,2019-07-26 01:57:49,3FZ6-0X0mGWl0ejrfrtRwQ,4.0,3.92,"",Sunday,13
0UdM2Yfy9yyxElBxON2q6A,NrJSy3dgcXErFtOKGREmnw,Aft Kitchen & Bar,4.0,142,0,2014-03-15 04:00:54,SnTU_jfEWqgmOz4KgtH7NA,4.0,3.52,"",Shamsa,21
0UdM2Yfy9yyxElBxON2q6A,GZ12skjXwuMuH3LidRN-mA,Chipotle Mexican Grill,3.5,64,1,2014-01-25 16:25:54,3M7oJ1Jm5YauLUAGl6zvwg,3.0,3.52,"",Shamsa,21
0UdM2Yfy9yyxElBxON2q6A,9cM7MCXiHuosXpD-z-ozZQ,Steve's Family Restaurant,3.0,46,0,2010-04-21 00:12:17,ota8uwK8JA4hZnVHUEa3Ng,4.0,3.52,"",Shamsa,21
0UdM2Yfy9yyxElBxON2q6A,tzl4KHt6ZAwyUJIEyemrtQ,Smith Bros.,4.0,335,1,2012-10-18 03:20:32,4oOQw59MipZ2NSeEBTuHnQ,3.0,3.52,"",Shamsa,21
0UdM2Yfy9yyxElBxON2q6A,m_rvCLB8j10NeUZPzuK1fA,Crown Pastries,4.5,28,1,2018-01-10 06:50:12,WT0U_MgWXTCF1M6B0yoNhw,5.0,3.52,"",Shamsa,21
0UdM2Yfy9yyxElBxON2q6A,LeU2bXqL4bWlky4z4PPysw,Ibrahim B.B.Q. Shawarma,3.0,95,1,2014-08-06 03:38:36,Or2WrDl4WOi_27s6c5p6lg,4.0,3.52,"",Shamsa,21
0UdM2Yfy9yyxElBxON2q6A,57_msr8gjNakjGO-1f6B_g,Angus Pho House,3.5,235,1,2014-07-16 17:30:26,rWXuNOU15TabxFFXlGDzxA,3.0,3.52,"",Shamsa,21
0VDOduWwE1r8dqnWqa1tNw,PM5vkmr8FqOIWE0pe3C2Fw,Morals Village Hot Pot Downtown,3.5,113,0,2017-10-14 03:54:29,DNzfD0fU_hcSXNLTDgvO3w,2.0,3.5,"",Claudia,6
0WiZr-lAsWDhm_OAlI9fww,eQCYur0033RkZdh5VjbF8A,Oliver & Bonacini Café Grill,3.5,226,1,2012-11-19 13:11:34,jNg-wA5hnjN_wnOkQKlGow,5.0,4.5,"",Darren,2
0gtEsazPeHr5rj2IAsZePg,02BXFKzu1rgaYulNGYvi6g,Matsuda Japanese Cuisine,3.0,275,1,2014-11-15 22:33:54,PL3YpTK1iUof_vmz6RNeyA,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,z5dE6ACPVnoyOOiAynMhmw,Chippy's Fish & Chips,3.0,104,0,2015-06-01 00:05:09,J5H-C5p6bfyJT45MrZFUCg,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,Pdnh437o_59l0QZsxvQqLQ,Hole-E Burger,3.5,17,0,2015-07-11 13:05:07,PYZeaCCWE6TO1WLmEafnMg,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,tJcpzXzykNSLuzWwa1JQUw,Queen St Warehouse,3.0,374,1,2015-08-13 14:44:12,AL6Oleaxm4mdgRCa6gDgKQ,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,PGJd7yyMitAgYRRYvxxEHA,Venezia Bakery,4.0,86,1,2015-01-11 16:35:15,z2vzdhv62NaoFypu7K4WRA,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,6GlJ5Tbhht43pXIRx7ygtw,Alex Rei Dos Leitoes,4.0,20,1,2015-10-30 21:12:58,Fke1dchL8x1lRG6VLOIKMQ,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,h_4dPV9M9aYaBliH1Eoeeg,Wvrst,4.0,782,1,2014-11-28 05:00:18,BNFgK8Nuosa5asAo42rT9w,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,tCCDNdsVMgAXZ_BSFc0FTw,Roll & Thai,3.5,18,1,2017-01-16 21:32:45,DYBEp57fFyo8gNobOSarLw,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,_81fRJ9m8Fn1s8ixPun46A,Union Social Eatery,3.5,238,1,2015-09-19 20:28:50,Va9oO5cUFeETnL3JV1lZZA,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,pzeb5vd0yC2yUKaRDyBrQg,What A Bagel - Spadina,3.0,186,1,2015-01-24 19:55:45,tvttdvjc8ZlaegSBLiBAug,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,HUYEadSbGSQNHXFmT2Ujjw,Manpuku Japanese Eatery,4.0,464,1,2016-10-18 23:32:47,wjz_a7djSThOlVMTQEfW3Q,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,GEvolb_U74NXgfgdxrVtyQ,Nichiban Sushi 4 U,4.0,153,1,2015-04-12 15:58:54,qUBaX3u5nfAS6QlUkVZhdQ,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,pdTYUCGkYz35utxPyUMoag,La Carnita,2.5,155,1,2016-09-15 22:28:29,PYizCLd5uoU-PsPh6XJyaw,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,S2eGygYWQB2yyb3-neKTlw,7 Numbers Danforth,3.5,91,1,2018-01-21 04:18:46,-8FizDDAlJ1JIWAu8baRyA,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,JXPbwc0LkEJxQstYgb84Zw,Tocino Boys,4.5,8,1,2017-05-27 01:31:44,yvTUa_vaxQHc3rnFVwsUkA,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,G4pt2q9Tr5SkwCw3Wb43VA,Snow Time,4.0,204,1,2017-01-04 18:32:27,qBcFtJrJlGQUp7_NkIHa8Q,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,D4mjIxNRmC7ZTlLFVxSyuQ,Saturday Dinette,4.0,79,0,2017-01-28 17:27:09,P-CleoUDvz5LcN0eio2AvQ,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,C8_zdU7zGLUK3uC4e5AepQ,MeNami,4.0,462,1,2017-02-25 00:01:21,uSi2iEe8gxcd2WzlW0r-tQ,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,K_sbl7yJnDE-zqkGB7NxeA,Big Bite Burrito,3.0,32,0,2016-01-12 00:20:21,dIRKNVvrD3JxdnDEyjlrXw,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,5Wq85xOGaeLK3V-tBKKASQ,LHL Seafood Restaurant,2.5,26,1,2015-12-14 23:31:53,-u1jZf0s_ln35tFzDDcIsA,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,jT-KFrbwr5iE-_vrVLpmiw,Beiruti Grand Café,3.5,104,0,2018-05-15 10:59:51,i4F_kdst-UEL5_EkKpvuXA,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,mUUTJY9_BqmAYxypHiqWrw,Francesca,4.0,141,1,2014-11-10 16:56:18,5j5YHVj0nH85sw_puu8ghw,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,ubDO6BYjnPSIZIpWxXGdlQ,Karine's,4.0,233,1,2017-03-26 15:39:36,GrJ-l9qenVD8uXqfZvb_wg,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,xYeLEIWbG0IBnMGU2mWUBg,Chako,3.5,241,1,2017-01-23 19:47:20,AbrmOQqsytgpm6jD_UsLeA,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,1Epby_tsFDci4sP0Nbjwsw,Pho Vietnam,3.0,97,1,2015-11-16 16:32:58,rwNP5twkDpkQ7s7-KvBfZQ,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,nD3FyISCri8uLP0NJY5CZA,Mermaid Fish and Grill House,4.0,96,0,2015-01-16 03:41:49,YNvMy2-vWP0Nwt32PbACVA,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,FnQ-_pGdw11za0LQ_aORxQ,0109 Dessert & Chocolate,3.5,213,1,2015-01-16 03:37:47,tNAMDsXhl4GhlQtVRi83xA,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,FnQ-_pGdw11za0LQ_aORxQ,0109 Dessert & Chocolate,3.5,213,1,2015-01-03 04:35:10,wHYIhCgkHaKq4FE6q5Pd6A,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,Ze4VPogvcD7inc3QuvY_yg,The Markham Station Restaurant,2.5,150,1,2017-02-04 16:57:06,rGieV59MIkj9QBDNchSfpA,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,N20Z6CmL1ZnCHYd2aojRyQ,Grano Restaurant,3.5,31,0,2016-04-10 03:27:55,uXztTFI9rd1_hsC-31rGIg,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,ZCYCNWA98718SZ0A4bHD7A,Dear & Fro,3.5,172,1,2018-05-15 11:00:33,utrRXMFu5PVVxJZ5pgAkWw,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,Qzq-m_TKJ-Iv1BmYLcjlVA,Spicy Dragon,3.5,65,1,2015-01-11 16:52:50,DUjQD7W0TjFa5Bn-E92RIw,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,K6XIGkyk7-fuOQtA8i7p6A,Mill Street Brew Pub,3.5,469,1,2014-12-16 20:54:12,6v7G4uDzzD7FY0w--virHw,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,Vp27tfpa318kEz_PwglbMA,Omni Palace Noodle House,3.5,104,1,2019-04-20 19:10:15,dLICU_p37n7gMhF6okGl9A,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,tzl4KHt6ZAwyUJIEyemrtQ,Smith Bros.,4.0,335,1,2015-01-23 02:59:54,JT6IPXC14BG9OFiM2wgJ7w,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,CogdxyYsTtyHyTMuj0RgFQ,Rock Lobster Food,3.0,166,0,2015-09-13 19:22:59,Xwvy_TcMvyCWGgHCPn4s9A,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,CKKm7cPJWioJw3-6Glsqkw,Daybreak Diner,3.0,42,0,2015-03-08 21:06:24,lGmQYJgkkD7SVUzqa2or4A,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,wGwib7KvPzs5_6aPCk_Fzw,Butter Avenue Yonge & Lawrence,4.0,147,0,2015-04-05 23:31:15,Y8OQgxMmqfpFoJ74kHlosg,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,oZyaFqZYf0eqKRiP-aY81Q,Pho Vietnam,3.5,133,1,2015-03-25 00:18:22,Az9gVRfbu6SfpUcPvt9NDw,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,G6EkDTXZ6zMUovg7JTG4YQ,Vietnam Noodle Star,3.5,201,1,2016-10-18 23:41:16,zU-BL6EIt1qWN8ab9M75IA,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,TgcjQfl1E9DE-SjDVOUDJQ,Rose and Sons,3.5,210,0,2017-11-22 14:53:14,Oih-4I9BzwgE9XAfX5x9eg,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,rtr3fSe2DIjjTkyHJQtCAQ,T-Buds,3.5,82,1,2015-06-06 18:12:41,DOTSAcRtJQUf-3clskKa7g,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,r_BrIgzYcwo1NAuG9dLbpg,Pai Northern Thai Kitchen,4.5,2758,1,2016-08-31 18:30:33,VAQU53R6DtfPKVpaC_Hd1Q,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,j7Rgozl24WrmDeqFCCKwQg,Grillies,4.0,67,1,2017-01-20 23:22:18,-7u5KJMp5e8Qxn7RnlFbEA,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,bRntmjztJ4dFDA_LYiEECw,Snakes & Lattes Annex,4.0,334,1,2014-11-10 03:09:11,1dG0rQaRVQJVpI4Ii8UHsg,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,7p54EUi6PylEtmSyMdIstA,Smile Dessert,2.5,52,1,2019-10-05 22:25:49,5cvURYTD7Jxcx6GLgeZZRw,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,Q6cgDdRy8BCmw745WZJCxA,Twilight Cafe,3.0,43,1,2019-11-10 03:36:11,aG0rfNAEo4oy8LqSeS54ow,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,B70iTJjcPkuYn8ouUewWgw,Gusto 101,4.0,956,1,2015-06-21 01:08:21,iPnnJcFtY1LJp5xFtcniJw,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,pOEL97ld-FJMKO8Ki8JmYg,Oliver & Bonacini Café Grill,3.0,307,1,2014-11-30 04:38:18,NNsaMHuSrueqotVCJvUmCA,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,SW6ZQk22G1_CV81_gfnvNQ,La Carnita,3.5,491,1,2014-12-01 02:45:54,Ibc29KcJBgvsXCwJzIQ_lQ,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,q-E9oE0StdOfMWIHiotfng,Coffee Culture,2.5,101,1,2017-01-04 18:24:32,2lwufcKu46GxZOeTP3BTUw,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,Zq9WPT7ZAOYlQ0GV8OQWKQ,Cluck Clucks,4.0,259,1,2016-08-19 00:11:59,aytXj9jMptzmbfRrUUVWpA,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,pOEL97ld-FJMKO8Ki8JmYg,Oliver & Bonacini Café Grill,3.0,307,1,2015-07-10 01:33:15,4m6htWmYiIv8717SUhmxfQ,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,VoJbh0ad4x5lnWPHx1sxVQ,Tartistry,4.5,23,1,2015-03-13 20:00:13,fab9GB2F8Mw30qGkMzATuQ,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,uChTCA6MsLAciDRklpO-Fw,Makkal Chon,4.0,317,1,2018-05-15 11:01:23,C_qCGM41Jm7v3kC5M0Yv5A,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,j0aiaJkrU-5VgbCsdx-txg,Chris Jerk Caribbean Bistro,4.5,318,1,2016-01-12 00:38:11,AwIGaOo3lltyIZNxCT2fUA,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,qlPyuJ77Znjh30I2kTs1xQ,Le Cafe Michi,3.5,229,1,2016-05-06 23:47:06,fPrtohRQ-yQgBjCQ0k9l_A,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,TR0-w6VoZDAdvFQiq7P2Ug,Millie Creperie,4.0,361,1,2015-02-01 19:51:18,cvCbd2Cg2m-furnjKMrnOQ,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,mzREMIknfmagJugibXrCsQ,Pho Tien Thanh,4.0,392,1,2014-11-10 02:58:27,w86blulx_nNTOggMb6-PjA,2.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,X9ftU-exKhTMOjtr3B52rw,Jim Chai Kee Wonton Noodle,4.0,96,1,2019-07-24 17:25:57,4fCshfcZJL8G9Gw_zPtCxA,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,jniApOOS8ppUHhESL7OzTg,Hamaru Sushi,3.5,49,1,2019-07-24 17:27:21,YhtyuTugAdtPh-6AGou4sg,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,He_4k_w_8bjWnoepahS2zw,Petit Potato,3.0,262,1,2019-08-12 03:09:32,NlaBTMqh8eHy5ntdBp2kfw,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,y769FA7VJOW4QQYdYlR62A,Levetto,4.0,225,1,2015-10-10 01:58:13,uYQVEnbEVuiD8lBxQNHvrQ,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,AVLj5MSJD1si-Rl6X6qTXQ,Rosewood Asian Cuisine,3.0,235,1,2015-04-05 17:52:58,uIss1ldiUehfhRXHqeWnjQ,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,Nz44ccUso3nq5S2OlQHNlA,Mexico Lindo,4.0,163,1,2016-08-18 18:54:48,PgbEoHBLc7mS87P6CRF4ng,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,c35qzLN6ItDpVIoj2uQW4Q,Ravi Soups,4.5,352,1,2016-10-21 22:58:49,mELfzMI8H7hfUgXKSusetg,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,eMTE-wqpk_YWaV3mf7Ii3A,Spring Rolls,2.5,108,0,2017-02-17 21:42:52,U3zqnCz4xqcAM9qUwYfH3g,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,tHlJKmUECTlj2amcGG0TOQ,Bobbie Sue's Mac & Cheese,4.0,114,1,2017-01-22 22:05:36,UzZlOqUQdvMX9JBBMASf-g,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,RsXu_NNblaAHT3onHWlLIA,KINTON RAMEN,3.5,115,1,2018-08-09 20:20:01,40vOMptyOJslVfdLHoutSA,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,k6zmSLmYAquCpJGKNnTgSQ,The Stockyards,4.0,718,1,2017-12-02 01:20:14,nrwPiYkXReTYDLXvFiN1fA,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,F09jtEb9KEph2L7Pbji5QQ,Golden Bubbles,3.5,150,1,2019-10-05 16:03:11,ST2rldh2TUvtN8J2bRh7UQ,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,WnUttoJffplgWaQGR2J2Xw,The Saint Tavern,3.5,123,0,2016-01-31 18:27:23,L2S5Gzzt_ab4BTo8OY1-kA,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,kZW2RJdmb8Ymm22pLscYvA,Showtime Bistro,3.5,54,1,2016-11-13 00:14:57,RoPFYpW0c_zed1Un-vnmgA,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,RMG_Sp9tVZ-j3WfQoxxbeg,Sushi California,4.0,77,1,2018-02-04 02:06:27,YCjkFU7a3L5XT-ZEUINl0w,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,0-fJRl595ZfHFyLQ3cROUg,Rise & Dine Eatery,4.5,55,1,2018-01-15 00:41:59,Z7W88sE_Xl_mXg6ZmfJLlg,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,B4-2wA8Pj8MQK1Ylymypqg,Sunny Morning,4.5,217,1,2015-03-13 16:53:48,xPm9hZ2VcaDEhfU2xMpe6g,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,0cpLF0LFQHHRFNlL0iy_Aw,Union Social Eatery,4.0,146,1,2014-11-19 03:22:19,9GBnDuE9i27KxDQZgXNHTg,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,kOFDVcnj-8fd3doIpCQ06A,Mildred's Temple Kitchen,4.0,859,1,2016-05-01 18:09:07,AlKXNMRrwPPfmHBz5xVP1A,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,V9qjoWogqqMWvFFpuASRYw,Evviva Breakfast & Lunch - Downtown Toronto,4.0,227,1,2016-03-26 17:24:25,FJTWOFYD6A8AQHn4WTQrWQ,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,RkekriZhaIZ7nSJBVept6Q,The Grilled Cheese,3.5,122,0,2015-02-01 18:40:15,P3QzkA__t7KhdFLv7XPwjQ,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,cisqOxAgQPjVVr9Yzk8_dw,Bake Code  - North York,3.5,232,1,2016-05-18 16:10:18,hE1Lz5WbkNsalD7Q5JgZIQ,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,FkNJgKjz6Yj-eoi3pPNWFw,Korean Grill House,3.0,107,1,2014-11-10 02:42:49,o5dCTW3zrPtGG8GxOtV0hw,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,OUB81Dpb6m7HjW4ZmeSlmw,Mean Bao,3.0,99,1,2015-05-10 01:11:22,OY5AUHBKrfFob-Pm7q8kxA,4.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,73_UT7fZ7mzXcguX8-oSuQ,Amsterdam BrewHouse,3.5,671,1,2019-08-14 22:22:31,a5Mg4GcGhnY0E3oPewlf5Q,5.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,KvWtJUUT_nEGfWJ2u7wbdw,The Fry,3.5,90,1,2019-02-10 17:40:41,clEsFD6acCKpKDKYe_aX5Q,3.0,4.01,"2017,2018",Jacqui,391
0gtEsazPeHr5rj2IAsZePg,NYsh17F0sWm-e7fVdm2CSA,Brickworks Cider House,3.5,65,1,2018-04-15 19:07:32,5XpXwNPpLlMxYkMwymV2xw,4.0,4.01,"2017,2018",Jacqui,391
